"target","name","club","bowstyle","gender","experience",
"27C","Cassandre Lucy Epps","Imperial College London ","Recurve","W","E",""
"27D","Richard Conway","MMU Cheshire","Barebow","M","E",""
"28A","Daniel  Nicholson","University of Bath","Barebow","M","N",""
"28B","David  Graham","University of York","Barebow","M","N",""
"28C","Wan Fung Calvin Lui","Imperial College London ","Recurve","M","E",""
"28D","Rhys Patimore","MMU Cheshire","Barebow","M","E",""
"29A","Liam Man","University of Bath","Recurve","M","N",""
"29B","Eve Lacey","University of Sheffield","Recurve","W","N",""
"29C","Richard Hwarn Yip Yim","Imperial College London ","Recurve","M","E",""
"29D","Robin Virgo","University of York","Recurve","M","E",""
"30A","RICHARD Cramp","University of Bath","Recurve","M","N",""
"30B","Sonia Nenow","University of Sheffield","Recurve","W","N",""
"30C","Yun Shi","Imperial College London ","Recurve","M","E",""
"30D","Daniel Clapham","University of York","Recurve","M","E",""
"31A","Michael Morgan","University of Essex","Barebow","M","N",""
"31B","Emer Montgomery","University of Bath","Recurve","W","E",""
"31C","Tim Weenink","Imperial College London ","Recurve","M","E",""
"31D","Mark Dowsett","University of York","Recurve","M","E",""
"32A","Joshua Burton","University of Essex","Recurve","M","N",""
"32B","Gemma Crickmore","University of Sheffield","Recurve","W","N",""
"32C","Tom Van Baalen","University of East Anglia","Recurve","M","E",""
"32D","Canus Ozkan","University of Bath","Recurve","W","E",""
"33A","Katie Bird","University of Essex","Barebow","W","N",""
"33B","Zhuoqun Zhang","University of Sheffield","Recurve","M","N",""
"33C","Ho Cheung Leung","University of London","Recurve","M","E",""
"33D","Victoria Swann","University of Bath","Longbow","W","E",""
"34A","Saira Hussain","University of Essex","Recurve","W","N",""
"34B","Iain  Cramphorn","University of Sheffield","Recurve","M","N",""
"34C","Hsiang-Fu  Huang","University of London","Recurve","M","E",""
"34D","Alix Snell","University of Bath","Barebow","W","E",""
"35A","Tevin Nyansimera","University of Huddersfield","Barebow","M","N",""
"35B","Harry Cook","University of Sheffield","Recurve","M","N",""
"35C","Benson Li","University of London","Recurve","M","E",""
"35D","Camille Roux","University of Essex","Recurve","W","E",""
"36A","Matthew Allen","University of Huddersfield","Barebow","M","N",""
"36B","janna collier","University of Portsmouth ","Recurve","W","N",""
"36C","Muhammad Danial Mohamad Azahan","University of London","Recurve","M","E",""
"36D","Rebecca Murray","University of Sheffield","Recurve","W","N",""
"37A","Vojta Plesak","University of Huddersfield","Recurve","M","N",""
"37B","Gemma-Kirstie Noble","University of Portsmouth ","Recurve","W","N",""
"37C","Colin Gordon","University of London","Recurve","M","E",""
"37D","Gemma Porter","University of Essex","Recurve","W","E",""
"38A","Adam Fazakerley","University of Huddersfield","Recurve","M","N",""
"38B","Oliver Colebrooke","University of Portsmouth ","Recurve","M","N",""
"38C","Anthony Tang","University of London","Recurve","M","E",""
"38D","Emile Douilet","University of Essex","Recurve","M","E",""
"39A","Nicole Segar","University of Huddersfield","Recurve","W","N",""
"39B","Jonny Hawkins","University of Portsmouth ","Recurve","M","N",""
"39C","Lifei Zhang","University of London","Recurve","M","E",""
"39D","Bois Safiev","University of Essex","Recurve","M","E",""
"40A","Natasha Giddens","University of Huddersfield","Recurve","W","N",""
"40B","Alex  Bray","University of Portsmouth ","Recurve","M","N",""
"40C","David Barnes","University of London","Recurve","M","E",""
"40D","Oleg Oniscuks","University of Essex","Barebow","M","E",""
"41A","Lewis Dunn","University of Kent","Recurve","M","N",""
"41B","Thomas Padley","University of Portsmouth ","Recurve","M","N",""
"41C","Sherman Ip","University of London","Recurve","M","E",""
"41D","Arran Constantine","University of Essex","Barebow","M","E",""
"42A","Tom Fielder","University of Kent","Recurve","M","N",""
"42B","Smaranda Elena Constantinescu","University of London","Recurve","W","N",""
"42C","Lewis Shaw","University of Huddersfield","Barebow","M","E",""
"42D","Nasreen Toorabally","University of Essex","Recurve","W","E",""
"43A","Rafael Veses Garcia","University of Kent","Recurve","M","N",""
"43B","Jessica Wilby","University of London","Recurve","W","N",""
"43C","Graham Evans","University of Huddersfield","Barebow","M","E",""
"43D","Lee Barnes","University of East Anglia","Recurve","M","E",""
"44A","Stella Reino","University of London","Recurve","W","N",""
"44B","Alannah Garnham","University of Kent","Recurve","W","E",""
"44C","Timothy Noble","University of Huddersfield","Recurve","M","E",""
"44D","Sean Yoon","Queen Mary University of London","Recurve","M","N",""
"45A","James Brinded","University of East Anglia","Recurve","M","N",""
"45B","Sarah Parker","University of London","Recurve","W","N",""
"45C","Andrew Vo","University of Kent","Recurve","M","E",""
"45D","Stewart Reeves","University of Huddersfield","Recurve","M","E",""
"46A","Steven Whitehead","University of Leeds","Recurve","M","N",""
"46B","Sabine Topf","University of London","Barebow","W","N",""
"46C","Matthew Jones","University of Kent","Recurve","M","E",""
"46D","Sarah Dickinson","University of Huddersfield","Barebow","W","E",""
"47A","Grace Roberts","University of Leeds","Longbow","W","N",""
"47B","Martin Mojzis","University of London","Recurve","M","N",""
"47C","Chris Cunningham","University of Kent","Recurve","M","E",""
