name,club,scores
Thomas Cram,Loughborough Students Archery Club,"[10, 9, 9, 8, 7, 6, 8, 7, 6, 6, 3, 3, 9, 9, 9, 9, 8, 8, 10, 9, 9, 9, 8, 7, 9, 8, 8, 6, 5, 5, 10, 8, 7, 7, 5, 2, 10, 9, 9, 9, 8, 5, 9, 9, 9, 7, 6, 5, 9, 9, 8, 8, 7, 6, 9, 9, 8, 8, 7, 3, 9, 8, 7, 7, 4, 3, 10, 9, 9, 9, 9, 7, 9, 7, 4, 9, 6, 6, 10, 6, 6, 10, 7, 7, 9, 9, 8, 8, 8, 5, 10, 8, 5, 9, 9, 9, 8, 7, 7, 10, 9, 7, 10, 8, 7, 9, 9, 4, 10, 10, 9, 10, 10, 9, 9, 8, 8, 10, 8, 7, 10, 9, 9, 9, 9, 7, 10, 10, 8, 9, 8, 8, 10, 9, 9, 9, 9, 8, 9, 9, 8, 9, 7, 7]"
Arthur Coveney,Loughborough Students Archery Club,"[9, 8, 8, 6, 5, 3, 7, 6, 4, 1, 0, 0, 10, 8, 8, 8, 5, 2, 9, 7, 7, 7, 7, 4, 8, 8, 8, 7, 6, 3, 9, 9, 8, 7, 4, 3, 9, 9, 8, 8, 8, 4, 9, 9, 8, 8, 7, 7, 10, 9, 7, 5, 5, 4, 10, 10, 10, 9, 8, 5, 10, 9, 9, 7, 7, 5, 10, 9, 8, 8, 7, 6, 9, 9, 8, 8, 6, 4, 8, 5, 5, 10, 7, 5, 9, 7, 7, 8, 5, 4, 8, 8, 6, 9, 7, 3, 10, 8, 6, 9, 8, 5, 9, 7, 5, 10, 8, 5, 10, 9, 8, 9, 9, 8, 10, 8, 8, 10, 9, 8, 9, 8, 0, 10, 9, 9, 9, 8, 5, 9, 8, 5, 9, 8, 6, 9, 8, 7, 10, 9, 8, 10, 7, 6]"
Benjamin Arenas,Edinburgh University Archery Club,"[10, 8, 8, 8, 5, 4, 10, 5, 5, 4, 2, 1, 8, 8, 5, 5, 5, 4, 7, 7, 6, 6, 5, 4, 8, 8, 7, 6, 0, 0, 7, 7, 6, 5, 4, 4, 10, 8, 6, 5, 4, 1, 9, 9, 8, 8, 7, 7, 9, 8, 7, 7, 6, 4, 10, 9, 8, 7, 5, 5, 10, 10, 8, 8, 5, 5, 10, 9, 7, 6, 6, 5, 10, 4, 0, 8, 8, 7, 7, 7, 6, 8, 7, 7, 8, 7, 6, 7, 5, 3, 9, 9, 7, 9, 8, 4, 10, 7, 7, 9, 8, 3, 10, 6, 6, 10, 8, 7, 10, 8, 8, 10, 9, 6, 10, 9, 8, 10, 8, 8, 7, 7, 6, 10, 10, 9, 10, 9, 8, 9, 9, 9, 9, 8, 8, 9, 7, 7, 10, 9, 8, 10, 9, 8]"
Matt McCormack,Lancaster University Archery Club,"[8, 7, 6, 5, 3, 1, 10, 8, 6, 6, 5, 2, 8, 6, 6, 5, 5, 2, 8, 8, 7, 7, 6, 4, 9, 7, 7, 7, 5, 5, 9, 8, 7, 6, 6, 0, 9, 8, 4, 0, 0, 0, 7, 6, 6, 3, 3, 1, 9, 8, 7, 6, 4, 0, 7, 7, 6, 5, 5, 3, 10, 10, 8, 8, 7, 5, 9, 7, 7, 6, 6, 4, 6, 4, 1, 7, 5, 5, 6, 5, 4, 7, 6, 4, 9, 7, 1, 10, 8, 5, 10, 6, 5, 8, 6, 5, 9, 6, 6, 4, 4, 2, 6, 6, 4, 9, 9, 3, 10, 9, 8, 9, 9, 6, 10, 8, 8, 9, 8, 8, 9, 9, 8, 9, 9, 9, 8, 8, 8, 10, 9, 8, 10, 9, 8, 9, 8, 8, 9, 9, 8, 9, 8, 7]"
James Nicol,Keele University Archery Club,"[8, 3, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chris Woodhead,Lancaster University Archery Club,"[7, 7, 7, 6, 4, 2, 8, 7, 4, 3, 0, 0, 8, 8, 7, 6, 5, 0, 9, 8, 6, 6, 2, 1, 10, 6, 3, 1, 0, 0, 8, 8, 7, 6, 3, 3, 8, 8, 8, 7, 6, 5, 9, 9, 7, 5, 5, 3, 8, 6, 6, 5, 3, 2, 9, 8, 4, 4, 4, 0, 10, 8, 8, 5, 5, 3, 8, 6, 5, 4, 3, 0, 8, 5, 0, 5, 5, 3, 9, 8, 8, 8, 6, 4, 7, 4, 1, 8, 7, 4, 9, 6, 4, 10, 6, 5, 6, 5, 0, 7, 6, 5, 9, 7, 6, 8, 6, 0, 10, 9, 7, 8, 7, 5, 9, 9, 8, 8, 4, 1, 8, 8, 8, 10, 8, 8, 9, 8, 8, 10, 9, 4, 9, 9, 9, 10, 10, 6, 8, 8, 7, 9, 9, 7]"
Rhys Patimore,MMU Cheshire Archery Club,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 8, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 2, 2, 2, 0, 0, 6, 5, 2, 1, 0, 0, 3, 0, 0, 6, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 10, 0, 0, 3, 1, 0, 4, 0, 0, 8, 2, 0, 6, 6, 4, 5, 4, 4, 3, 3, 2, 6, 5, 2, 8, 5, 2, 6, 5, 2, 4, 3, 2, 4, 4, 0]"
Matthew Langton,Oxford University Company of Archers,"[9, 8, 7, 7, 7, 7, 10, 10, 9, 5, 5, 3, 10, 9, 7, 6, 5, 0, 9, 7, 7, 7, 5, 4, 10, 9, 9, 7, 6, 5, 9, 9, 8, 8, 6, 4, 10, 9, 7, 7, 3, 2, 10, 9, 9, 8, 8, 8, 10, 9, 9, 9, 8, 4, 8, 7, 7, 7, 6, 6, 10, 9, 8, 8, 8, 8, 10, 9, 9, 8, 8, 6, 8, 8, 3, 10, 10, 5, 8, 8, 6, 8, 7, 7, 7, 7, 7, 10, 9, 7, 9, 9, 2, 9, 8, 7, 9, 8, 8, 10, 10, 0, 10, 8, 8, 10, 8, 7, 10, 9, 9, 10, 9, 7, 10, 9, 8, 10, 10, 9, 10, 9, 7, 10, 9, 9, 10, 10, 7, 10, 9, 9, 10, 8, 8, 10, 10, 9, 10, 9, 9, 10, 9, 9]"
Jack Sobey,Oxford University Company of Archers,"[8, 7, 6, 5, 5, 4, 8, 7, 7, 5, 4, 3, 8, 7, 6, 5, 5, 4, 9, 8, 7, 6, 5, 5, 10, 8, 8, 8, 8, 0, 9, 7, 7, 6, 6, 4, 9, 9, 8, 6, 6, 2, 9, 8, 8, 8, 6, 4, 8, 7, 7, 7, 6, 6, 9, 8, 8, 8, 7, 2, 9, 8, 8, 8, 7, 7, 9, 8, 7, 6, 5, 5, 9, 7, 6, 8, 8, 6, 9, 8, 6, 10, 8, 8, 7, 7, 5, 10, 8, 4, 9, 8, 6, 9, 8, 3, 9, 9, 6, 8, 8, 3, 10, 10, 8, 9, 7, 6, 10, 9, 7, 10, 9, 8, 10, 10, 9, 10, 9, 9, 10, 9, 8, 10, 10, 9, 9, 8, 7, 9, 8, 8, 9, 8, 8, 9, 9, 7, 10, 8, 7, 9, 8, 8]"
Dave Jenner,Swansea University Archery Club,"[10, 8, 8, 7, 2, 0, 7, 7, 6, 6, 4, 0, 9, 8, 8, 6, 3, 2, 8, 8, 8, 7, 5, 2, 7, 7, 6, 5, 2, 0, 9, 7, 7, 5, 4, 1, 8, 7, 6, 5, 4, 1, 9, 8, 7, 5, 2, 2, 8, 7, 5, 5, 4, 0, 10, 9, 6, 6, 5, 5, 7, 7, 7, 6, 6, 5, 10, 7, 4, 4, 3, 1, 8, 8, 7, 10, 1, 0, 9, 8, 7, 10, 8, 6, 9, 8, 4, 5, 4, 0, 8, 7, 3, 10, 7, 5, 10, 7, 7, 8, 6, 0, 10, 7, 5, 5, 5, 3, 10, 9, 8, 9, 6, 5, 9, 9, 8, 8, 7, 6, 10, 9, 9, 10, 8, 7, 9, 9, 5, 8, 7, 6, 9, 8, 7, 9, 8, 8, 9, 9, 7, 9, 8, 8]"
