"Place","Archer","70m","H2H","FITA","Overall"
1,"Alison Williamson",2,1,1,4
2,"Naomi Folkard",1,2,2,5
3,"Charlotte Burgess",4,3,5,12
4,"Jeanetta Braun",5,6,3,14
5,"Nicky Hunt",3,9,4,16
6,"Kirstin Lewis",6,7,6,19
7,"Louise Colville",8,8,11,27
8,"Lisa Cooper",7,5,16,28
9,"Joann Lunt",13,9,7,29
10,"Zena Barker",14,4,12,30
11,"Estelle Edwick",12,9,10,31
12,"Sam Fowler",9,9,13,31
13,"Lizzie Bell",16,9,9,34
14,"Deb Charles",11,9,14,34
15,"Victoria Savage",18,9,8,35
16,"Linda Haines",15,17,20,52
17,"Jane Lowes",17,17,19,53
18,"Simone Dent",23,9,22,54
19,"Lizzie Cantopher",22,17,15,54
20,"Rebecca Dawson",19,17,21,57
21,"Jenny Charman",25,17,17,59
22,"Rachel Vines",24,17,18,59
23,"Stephanie Jackson",21,17,24,62
24,"Emma Chappell",26,17,23,66
25,"Danielle Tighe",20,17,29,66
26,"Yulia Larkins",27,17,25,69
27,"Stephanie Pinnells",30,17,28,75
28,"Jane Prior",32,17,27,76
29,"Laure Bourguignon",33,33,26,92
30,"Karen Sarimento",34,33,30,97
